TaskBoardID,Discord ID,Verified,Moniker,Submission Link,Last Date Updated,filename,size
4305,alkadeta#2699,Accepted,alkadeta,I've run my slog file since the start until after I encountered the Bad Address issue at the last 15 hours after performing my 3rd restart task: https://github.com/Agoric/testnet-notes/issues/33#issuecomment-906174248<br /><br />I've uploaded the slog file to submit.agoric.app/participant/slogForm<br /><br />If you want to access it by link: https://drive.google.com/file/d/1XPOp4l8HzE5hKJxzipLEd-6URxzDZVOd/view<br /><br />,2021-08-26 05:55:00,2021-08-26T08:27:01.944Z-alkadeta#2699.slog.gz,1729819405.0
4517,asif#1713,Accepted,almuezza,Moniker: almuezza<br />almuezza-agorictest17-chain.slog.tar.gz<br />Storage key: 2021-08-26T20:55:54.867Z-asif#1713.slog.gz<br />,2021-08-26 16:34:00,2021-08-26T20:55:54.867Z-asif#1713.slog.gz,1957413682.0
4516,asif#1713,Accepted,almuezza,"Name: 2021-08-26T20:55:54.867Z-asif#1713.slog.gz	<br />Size: 1,957,413,682	<br />md5Hash: WnYPyu9/DfnMV/NfueOz3Q==<br />",2021-08-26 16:33:00,2021-08-26T20:55:54.867Z-asif#1713.slog.gz,1957413682.0
4411,bakarapara#3452,Accepted,bakarapara,"uploaded via https://submit.agoric.app/participant/slogForm, but there wasnt any success notification, so i uploaded copy to my server also:<br /><br />https://b4stake.com/agoric/bakarapara-agorictest17-chain.slog.gz",2021-08-26 11:31:00,2021-08-26T19:30:08.731Z-bakarapara#3452.slog.gz,1791345066.0
4431,cw#1047,Accepted,cwwc,Submitted via portal and additional link here: https://drive.google.com/file/d/1UF3xtg-i58qgwSEPXuu8K0ESliItGAXp/view?usp=sharing,2021-08-26 11:51:00,2021-08-25T23:59:53.271Z-cw#1047.slog.gz,4921360.0
4431,cw#1047,Accepted,cwwc,Submitted via portal and additional link here: https://drive.google.com/file/d/1UF3xtg-i58qgwSEPXuu8K0ESliItGAXp/view?usp=sharing,2021-08-26 11:51:00,2021-08-26T01:41:48.128Z-cw#1047.slog.gz,127824595.0
4431,cw#1047,Accepted,cwwc,Submitted via portal and additional link here: https://drive.google.com/file/d/1UF3xtg-i58qgwSEPXuu8K0ESliItGAXp/view?usp=sharing,2021-08-26 11:51:00,2021-08-26T15:49:41.072Z-cw#1047.slog.gz,1781944848.0
4431,cw#1047,Accepted,cwwc,Submitted via portal and additional link here: https://drive.google.com/file/d/1UF3xtg-i58qgwSEPXuu8K0ESliItGAXp/view?usp=sharing,2021-08-26 11:51:00,2021-08-26T17:23:16.663Z-cw#1047.slog.gz,132384905.0
4203,doppelganger23#1836,Accepted,doppelganger23,I uploaded slogfile via submit.agoric.app (it's named doppelganger23-agorictest-17.slog.gz).,2021-08-25 16:29:00,2021-08-25T20:20:19.045Z-doppelganger23#1836.slog.gz,1582364907.0
4225,hiretrade#6141,Accepted,sumnechamak,Submitted,2021-08-25 19:11:00,2021-08-25T22:57:47.384Z-hiretrade#6141.slog.gz,1604135120.0
4224,iicc | stakely.io#4715,Accepted,iicc-stakely.io,Submitted two slogs in https://submit.agoric.app<br /><br />Alternative download link of the two slog files: https://drive.google.com/drive/folders/1JnKPOA7tGiM8XTcQ10NhDTH2puPm2qax?usp=sharing,2021-08-25 19:10:00,2021-08-25T22:33:09.458Z-iicc | stakely.io#4715.slog.gz,597484834.0
4224,iicc | stakely.io#4715,Accepted,iicc-stakely.io,Submitted two slogs in https://submit.agoric.app<br /><br />Alternative download link of the two slog files: https://drive.google.com/drive/folders/1JnKPOA7tGiM8XTcQ10NhDTH2puPm2qax?usp=sharing,2021-08-25 19:10:00,2021-08-26T01:27:58.935Z-iicc | stakely.io#4715.slog.gz,1651177165.0
4597,jjangg96#7937,Accepted,0base.vc,Uploaded,2021-08-27 12:49:00,2021-08-27T16:44:00.475Z-jjangg96#7937.slog.gz,3743327924.0
4184,johndoe#6169,Accepted,johndoe,slog file uploaded via submit.agoric.app,2021-08-25 13:46:00,2021-08-25T17:35:04.024Z-johndoe#6169.slog.gz,165187531.0
4216,kodvas#8552,Accepted,ZenQQQ,ZenQQQ,2021-08-25 17:21:00,2021-08-25T21:21:59.360Z-kodvas#8552.slog.gz,1596672424.0
