,TaskBoardID,Discord ID,Moniker,Status,jsonErr,Last Date Updated,moniker,delegator_address
62,3772,Serg NI#8093,niocrisN0de,Completed,False,2021-08-17 12:16:00,niocrisN0de,agoric1awqg5577nmf7myaf9ndhw28pr6te8fmc8f44xl
63,3689,Sergio#9134,NodesGuru,Completed,False,2021-08-16 14:26:00,NodesGuru,agoric1v3ymyn5vflashmwpv29ytadhw7ymxyehm2wc6c
64,3707,Serhio911#2565,Serhio911,Completed,False,2021-08-16 17:26:00,Serhio911,agoric133tksxjg0z47xp2f477cdc0g0teqdv03et3uwa
65,3804,Shai#1550,Octopos,Obsolete,False,2021-08-17 23:41:00,,agoric1jhhn6clpcpuvtg5gha88c3mhun5fzhrk5vg9p9
66,3814,Shai#1550,Octopos,Completed,False,2021-08-18 15:50:00,Octopos,agoric1jhhn6clpcpuvtg5gha88c3mhun5fzhrk5vg9p9
67,3827,Shen | Bi23 Labs#6675,Bi23 Labs,Completed,False,2021-08-19 05:34:00,Bi23 Labs,agoric1nzfsz8hd69hj4km0zcx8tnxs87s78e8kf2ue00
68,3766,Sjors#2650,Lemniscap,Completed,False,2021-08-17 11:58:00,,agoric1ch738c0t2xkykz495wmszfl4gql79e4zyp9u4t
69,3776,Solysium#9645,atlantean,Completed,False,2021-08-17 12:36:00,atlantean,agoric1qzttjkwdar7qxndh87aug8skl992dagnh3x36l
70,3683,Support#9991,baberough,Completed,False,2021-08-16 13:25:00,baberough,agoric1zftvmmc6pf8ph7zhfj3zwarh52fdaa070hg65m
71,3778,Syd#9907,Syd,Completed,False,2021-08-17 12:42:00,Syd,agoric1gmvtfwjhsxv84gzy2w57wh5378d3xc3gc7a9qe
72,3711,Tibi K. | moonlet.io#6120,Moonlet.io,Completed,False,2021-08-16 19:49:00,Moonlet.io,agoric17jlcqty38a78ee058awt27qtnwxv4lsmyw3735
73,3798,Trader_Payne#4602,Payne,Obsolete,False,2021-08-17 15:03:00,Payne,agoric192mgs0rylp87gntkwgwu3y6hm2wk3tf8323wxl
